region,trending_date,category_title,videos_count
France,2017-11-14,Autos & Vehicles,8
France,2017-11-15,Autos & Vehicles,2
France,2017-11-16,Autos & Vehicles,6
France,2017-11-17,Autos & Vehicles,8
France,2017-11-18,Autos & Vehicles,4
France,2017-11-19,Autos & Vehicles,10
France,2017-11-20,Autos & Vehicles,12
France,2017-11-21,Autos & Vehicles,8
France,2017-11-22,Autos & Vehicles,4
France,2017-11-23,Autos & Vehicles,6
France,2017-11-24,Autos & Vehicles,8
France,2017-11-25,Autos & Vehicles,8
France,2017-11-26,Autos & Vehicles,10
France,2017-11-27,Autos & Vehicles,26
France,2017-11-28,Autos & Vehicles,16
France,2017-11-29,Autos & Vehicles,4
France,2017-11-30,Autos & Vehicles,10
France,2017-12-01,Autos & Vehicles,12
France,2017-12-02,Autos & Vehicles,6
France,2017-12-03,Autos & Vehicles,4
France,2017-12-04,Autos & Vehicles,8
France,2017-12-05,Autos & Vehicles,8
France,2017-12-06,Autos & Vehicles,8
France,2017-12-07,Autos & Vehicles,6
France,2017-12-08,Autos & Vehicles,2
France,2017-12-09,Autos & Vehicles,4
France,2017-12-10,Autos & Vehicles,2
France,2017-12-12,Autos & Vehicles,4
France,2017-12-13,Autos & Vehicles,6
France,2017-12-14,Autos & Vehicles,4
France,2017-12-16,Autos & Vehicles,6
France,2017-12-17,Autos & Vehicles,4
France,2017-12-18,Autos & Vehicles,8
France,2017-12-19,Autos & Vehicles,8
France,2017-12-20,Autos & Vehicles,2
France,2017-12-21,Autos & Vehicles,6
France,2017-12-22,Autos & Vehicles,8
France,2017-12-23,Autos & Vehicles,8
France,2017-12-24,Autos & Vehicles,2
France,2017-12-26,Autos & Vehicles,4
France,2017-12-27,Autos & Vehicles,4
France,2017-12-28,Autos & Vehicles,10
France,2017-12-29,Autos & Vehicles,6
France,2017-12-30,Autos & Vehicles,6
France,2017-12-31,Autos & Vehicles,6
France,2018-01-01,Autos & Vehicles,2
France,2018-01-02,Autos & Vehicles,2
France,2018-01-03,Autos & Vehicles,4
France,2018-01-04,Autos & Vehicles,2
France,2018-01-05,Autos & Vehicles,8
France,2018-01-06,Autos & Vehicles,2
France,2018-01-08,Autos & Vehicles,6
France,2018-01-09,Autos & Vehicles,8
France,2018-01-12,Autos & Vehicles,10
France,2018-01-14,Autos & Vehicles,2
