source_id,dt,costs
1,2017-06-01,75.2
1,2017-06-02,62.25
1,2017-06-03,36.53
1,2017-06-04,55.0
1,2017-06-05,57.08
1,2017-06-06,40.39
1,2017-06-07,40.59
1,2017-06-08,56.63
1,2017-06-09,40.16
1,2017-06-10,43.24
1,2017-06-11,21.68
1,2017-06-12,27.48
1,2017-06-13,44.66
1,2017-06-14,30.7
1,2017-06-15,39.71
1,2017-06-16,39.1
1,2017-06-17,21.41
1,2017-06-18,50.04
1,2017-06-19,25.08
1,2017-06-20,25.37
1,2017-06-21,22.6
1,2017-06-22,21.68
1,2017-06-23,28.6
1,2017-06-24,10.72
1,2017-06-25,22.03
1,2017-06-26,31.91
1,2017-06-27,47.73
1,2017-06-28,38.48
1,2017-06-29,32.58
1,2017-06-30,36.98
1,2017-07-01,5.8
1,2017-07-02,27.99
1,2017-07-03,21.56
1,2017-07-04,37.63
1,2017-07-05,22.11
1,2017-07-06,23.32
1,2017-07-07,47.25
1,2017-07-08,32.26
1,2017-07-09,54.94
1,2017-07-10,30.69
1,2017-07-11,24.08
1,2017-07-12,53.53
1,2017-07-13,34.52
1,2017-07-14,63.52
1,2017-07-15,52.47
1,2017-07-16,34.02
1,2017-07-17,90.87
1,2017-07-18,54.31
1,2017-07-19,46.85
1,2017-07-20,28.46
1,2017-07-21,36.25
1,2017-07-22,20.98
1,2017-07-23,28.1
1,2017-07-24,48.58
1,2017-07-25,13.31
1,2017-07-26,27.38
1,2017-07-27,9.92
1,2017-07-28,23.5
1,2017-07-29,12.6
1,2017-07-30,34.96
1,2017-07-31,31.12
1,2017-08-01,44.65
1,2017-08-02,25.47
1,2017-08-03,19.96
1,2017-08-04,23.08
1,2017-08-05,26.49
1,2017-08-06,13.21
1,2017-08-07,27.78
1,2017-08-08,33.71
1,2017-08-09,19.67
1,2017-08-10,32.73
1,2017-08-11,29.93
1,2017-08-12,16.04
1,2017-08-13,17.01
1,2017-08-14,45.75
1,2017-08-15,34.63
1,2017-08-16,22.07
1,2017-08-17,50.77
1,2017-08-18,31.57
1,2017-08-19,23.2
1,2017-08-20,37.04
1,2017-08-21,25.09
1,2017-08-22,32.48
1,2017-08-23,22.42
1,2017-08-24,33.88
1,2017-08-25,26.18
1,2017-08-26,30.38
1,2017-08-27,46.25
1,2017-08-28,50.07
1,2017-08-29,28.25
1,2017-08-30,43.79
1,2017-08-31,38.26
1,2017-09-01,40.28
1,2017-09-02,26.16
1,2017-09-03,24.95
1,2017-09-04,36.48
1,2017-09-05,48.53
1,2017-09-06,61.1
1,2017-09-07,29.06
1,2017-09-08,53.66
1,2017-09-09,41.98
1,2017-09-10,22.83
1,2017-09-11,48.02
1,2017-09-12,31.75
1,2017-09-13,49.61
1,2017-09-14,54.86
1,2017-09-15,49.8
1,2017-09-16,30.24
1,2017-09-17,45.97
1,2017-09-18,61.06
1,2017-09-19,45.41
1,2017-09-20,75.74
1,2017-09-21,55.05
1,2017-09-22,58.6
1,2017-09-23,18.34
1,2017-09-24,31.84
1,2017-09-25,86.61
1,2017-09-26,68.59
1,2017-09-27,86.83
1,2017-09-28,75.52
1,2017-09-29,84.04
1,2017-09-30,59.1
1,2017-10-01,57.14
1,2017-10-02,86.51
1,2017-10-03,78.73
1,2017-10-04,90.78
1,2017-10-05,85.21
1,2017-10-06,76.57
1,2017-10-07,72.02
1,2017-10-08,42.54
1,2017-10-09,89.25
1,2017-10-10,56.04
1,2017-10-11,63.58
1,2017-10-12,106.59
1,2017-10-13,78.87
1,2017-10-14,55.8
1,2017-10-15,49.88
1,2017-10-16,64.75
1,2017-10-17,46.35
1,2017-10-18,66.2
1,2017-10-19,67.95
1,2017-10-20,125.68
1,2017-10-21,65.58
1,2017-10-22,60.25
1,2017-10-23,70.44
1,2017-10-24,124.55
1,2017-10-25,61.38
1,2017-10-26,106.66
1,2017-10-27,62.53
1,2017-10-28,55.19
1,2017-10-29,78.69
1,2017-10-30,97.1
1,2017-10-31,72.94
1,2017-11-01,69.03
1,2017-11-02,98.15
1,2017-11-03,77.4
1,2017-11-04,48.34
1,2017-11-05,60.5
1,2017-11-06,65.54
1,2017-11-07,78.5
1,2017-11-08,74.46
1,2017-11-09,63.55
1,2017-11-10,65.79
1,2017-11-11,77.93
1,2017-11-12,73.18
1,2017-11-13,115.58
