Buy Ts,Revenue,Uid
2017-06-01 00:10:00,17.0,10329302124590727494
2017-06-01 00:25:00,0.55,11627257723692907447
2017-06-01 00:27:00,0.37,17903680561304213844
2017-06-01 00:29:00,0.55,16109239769442553005
2017-06-01 07:58:00,0.37,14200605875248379450
2017-06-01 08:43:00,0.18,10402394430196413321
2017-06-01 08:54:00,1.83,12464626743129688638
2017-06-01 09:22:00,1.22,3644482766749211722
2017-06-01 09:22:00,3.3,17542070709969841479
2017-06-01 09:23:00,0.37,1074355127080856382
2017-06-01 09:58:00,2.81,12888070354554424008
2017-06-01 10:27:00,1.22,4409266971612110231
2017-06-01 10:33:00,9.78,8635489015105716934
2017-06-01 10:38:00,1.83,8995168848618027177
2017-06-01 10:38:00,2.08,2050423809815667474
2017-06-01 10:43:00,4.15,18335282082749800806
2017-06-01 10:49:00,7.33,9454788256069675152
2017-06-01 10:58:00,3.73,11062788618907079633
2017-06-01 11:01:00,1.67,6481195116107172636
2017-06-01 11:06:00,0.49,7161516173674142289
2017-06-01 11:08:00,1.83,9814534000845345552
2017-06-01 11:13:00,10.0,1186685127129229501
2017-06-01 11:42:00,4.15,2050423809815667474
2017-06-01 13:29:00,4.58,13788673445849105087
2017-06-01 14:14:00,1.22,6749200142647927813
2017-06-01 14:19:00,0.73,9402519610129672491
2017-06-01 14:20:00,1.47,4899721912549460321
2017-06-01 14:22:00,0.18,13128309044400650573
2017-06-01 14:26:00,1.34,1306739390297736782
2017-06-01 14:29:00,4.89,5694751597675088091
2017-06-01 14:31:00,6.72,11139390829640167076
2017-06-01 14:36:00,0.24,13830803930846284958
2017-06-01 16:04:00,0.73,13830803930846284958
2017-06-01 16:31:00,2.08,2050423809815667474
2017-06-01 16:47:00,4.28,1292867924428534308
2017-06-01 16:50:00,0.24,17654842465850522525
2017-06-01 17:09:00,2.2,14528467823744531564
2017-06-01 17:14:00,0.37,16389108399268371010
2017-06-01 17:16:00,1.53,5603453646174104178
2017-06-01 17:19:00,0.55,7939977454700153907
2017-06-01 17:20:00,2.08,13476545380596382515
2017-06-01 17:22:00,0.37,16237749256208665529
2017-06-01 17:27:00,110.0,11218073356336199381
2017-06-01 17:33:00,11.0,16674220541096562302
2017-06-01 17:36:00,4.89,5935881564136182668
2017-06-01 18:07:00,9.17,3963367130094376110
2017-06-01 18:11:00,2.44,18346008462625591446
2017-06-01 18:35:00,0.37,16237749256208665529
2017-06-01 18:54:00,2.32,9692543360951955041
2017-06-01 19:02:00,3.3,3621788520712541685
2017-06-01 19:05:00,2.14,2802806506908037623
2017-06-01 19:22:00,3.48,1445776368244927621
2017-06-01 19:27:00,1.1,11819047673449139952
2017-06-01 19:36:00,1.16,11819047673449139952
2017-06-01 19:39:00,0.18,13004013926921717095
2017-06-01 19:48:00,3.67,13326620244969465304
2017-06-01 20:14:00,2.81,10303622633602341332
2017-06-01 20:16:00,3.05,8655045207590755923
