id,user_id,call_date,duration
1000_93,1000,2018-12-27,8.52
1000_145,1000,2018-12-27,13.66
1000_247,1000,2018-12-27,14.48
1000_309,1000,2018-12-28,5.76
1000_380,1000,2018-12-30,4.22
1000_388,1000,2018-12-31,2.2
1000_510,1000,2018-12-27,5.75
1000_521,1000,2018-12-28,14.18
1000_530,1000,2018-12-28,5.77
1000_544,1000,2018-12-26,4.4
1000_693,1000,2018-12-31,4.31
1000_705,1000,2018-12-31,12.78
1000_735,1000,2018-12-29,1.7
1000_778,1000,2018-12-28,3.29
1000_826,1000,2018-12-26,9.96
1000_842,1000,2018-12-27,5.85
1001_0,1001,2018-09-06,10.06
1001_1,1001,2018-10-12,1.0
1001_2,1001,2018-10-17,15.83
1001_4,1001,2018-12-05,0.0
1001_5,1001,2018-12-13,6.27
1001_6,1001,2018-12-04,7.19
1001_8,1001,2018-11-17,2.45
1001_9,1001,2018-11-19,2.4
1001_11,1001,2018-11-09,1.0
1001_13,1001,2018-12-24,0.0
1001_19,1001,2018-11-15,30.0
1001_20,1001,2018-09-21,5.75
1001_23,1001,2018-10-27,0.98
1001_26,1001,2018-10-28,5.9
1001_29,1001,2018-09-30,14.78
1001_30,1001,2018-10-17,0.0
1001_31,1001,2018-11-03,0.0
1001_32,1001,2018-11-25,3.99
1001_35,1001,2018-12-21,0.0
1001_37,1001,2018-11-17,15.85
1001_39,1001,2018-12-07,11.13
1001_40,1001,2018-09-30,18.6
1001_42,1001,2018-08-28,13.27
1001_43,1001,2018-12-13,0.0
1001_44,1001,2018-12-01,6.13
1001_46,1001,2018-11-03,0.95
1001_47,1001,2018-11-08,6.36
1001_51,1001,2018-09-14,16.03
1001_52,1001,2018-11-23,0.0
1001_53,1001,2018-10-24,0.0
1001_54,1001,2018-12-11,8.21
1001_57,1001,2018-12-16,21.3
1001_59,1001,2018-12-19,9.29
1001_60,1001,2018-12-16,0.0
1001_61,1001,2018-10-28,8.73
1001_65,1001,2018-11-08,5.64
1001_66,1001,2018-12-20,16.52
1001_68,1001,2018-12-10,2.97
1001_72,1001,2018-09-17,6.21
1001_73,1001,2018-11-24,11.25
1001_75,1001,2018-10-14,2.82
1001_78,1001,2018-12-05,6.76
1001_79,1001,2018-12-19,9.85
1001_81,1001,2018-10-04,4.79
1001_82,1001,2018-10-31,14.32
1001_84,1001,2018-10-07,0.0
1001_86,1001,2018-09-24,12.42
1001_87,1001,2018-09-30,9.19
1001_88,1001,2018-10-16,6.78
1001_90,1001,2018-10-21,13.94
1001_91,1001,2018-11-14,10.9
1001_94,1001,2018-08-17,8.11
1001_96,1001,2018-09-15,13.54
1001_98,1001,2018-11-06,0.0
1001_102,1001,2018-10-24,6.69
1001_105,1001,2018-11-30,1.95
1001_106,1001,2018-09-17,7.25
1001_108,1001,2018-10-24,5.53
1001_109,1001,2018-10-27,0.0
1001_110,1001,2018-08-16,0.0
1001_112,1001,2018-10-28,0.0
1001_115,1001,2018-09-16,4.91
1001_121,1001,2018-12-02,9.91
1001_123,1001,2018-09-07,9.42
1001_124,1001,2018-09-28,18.86
1001_127,1001,2018-11-11,12.94
1001_129,1001,2018-09-22,0.0
1001_130,1001,2018-10-03,6.48
1001_132,1001,2018-11-04,16.33
1001_133,1001,2018-10-30,9.72
1001_135,1001,2018-08-23,2.2
1001_136,1001,2018-10-23,9.6
1001_137,1001,2018-11-10,0.15
1001_141,1001,2018-10-28,12.18
1001_143,1001,2018-08-24,8.63
1001_146,1001,2018-09-05,0.0
1001_147,1001,2018-10-28,4.48
1001_150,1001,2018-08-18,1.74
1001_152,1001,2018-11-23,5.53
1001_153,1001,2018-12-05,3.56
1001_155,1001,2018-09-18,2.14
1001_162,1001,2018-12-01,9.99
1001_163,1001,2018-12-04,26.88
1001_166,1001,2018-10-16,0.0
1001_167,1001,2018-08-14,10.19
1001_170,1001,2018-08-21,0.0
1001_171,1001,2018-11-26,5.21
1001_174,1001,2018-12-08,2.8
1001_175,1001,2018-10-21,14.68
1001_177,1001,2018-09-21,0.0
1001_179,1001,2018-12-31,14.44
1001_185,1001,2018-11-15,10.44
1001_186,1001,2018-09-03,0.0
1001_188,1001,2018-10-28,5.94
1001_190,1001,2018-10-24,7.24
1001_192,1001,2018-10-16,12.72
1001_194,1001,2018-11-18,0.0
1001_195,1001,2018-08-27,3.76
1001_197,1001,2018-11-29,7.72
1001_198,1001,2018-11-11,20.87
1001_199,1001,2018-12-24,2.0
1001_201,1001,2018-11-21,14.67
1001_204,1001,2018-08-25,13.88
1001_207,1001,2018-10-15,6.62
1001_208,1001,2018-09-12,9.48
1001_209,1001,2018-12-11,0.0
1001_210,1001,2018-10-07,7.47
1001_211,1001,2018-11-07,11.67
1001_212,1001,2018-08-27,6.81
1001_213,1001,2018-09-02,0.0
1001_214,1001,2018-12-10,2.79
1001_216,1001,2018-11-08,5.13
1001_218,1001,2018-11-25,6.97
1001_220,1001,2018-10-26,0.0
1001_222,1001,2018-08-25,9.61
1001_225,1001,2018-10-03,5.39
1001_229,1001,2018-08-27,0.0
1001_230,1001,2018-10-27,5.27
1001_231,1001,2018-11-11,5.54
1001_232,1001,2018-12-20,1.0
1001_233,1001,2018-09-23,6.33
1001_234,1001,2018-10-23,0.0
1001_235,1001,2018-10-05,0.0
1001_237,1001,2018-10-31,1.76
1001_238,1001,2018-10-13,10.43
1001_239,1001,2018-09-10,0.0
1001_244,1001,2018-12-16,26.85
1001_245,1001,2018-08-16,8.11
1001_247,1001,2018-11-26,14.2
1001_250,1001,2018-12-31,12.16
1001_251,1001,2018-10-26,9.75
1001_252,1001,2018-11-25,7.9
1001_253,1001,2018-11-26,0.0
1001_256,1001,2018-09-04,0.0
1001_257,1001,2018-11-05,6.57
1001_259,1001,2018-10-07,0.0
1001_260,1001,2018-11-28,7.06
1001_261,1001,2018-12-24,6.64
1001_265,1001,2018-09-18,5.69
1001_267,1001,2018-12-01,0.0
1001_268,1001,2018-12-22,15.75
1001_269,1001,2018-12-02,0.0
1001_275,1001,2018-12-11,8.38
1001_277,1001,2018-10-23,0.0
1001_281,1001,2018-11-20,9.94
1001_282,1001,2018-11-16,1.98
1001_284,1001,2018-08-16,4.53
1001_285,1001,2018-08-31,12.31
1001_286,1001,2018-09-15,2.77
1001_289,1001,2018-10-08,11.98
1001_297,1001,2018-10-15,0.0
1001_298,1001,2018-12-04,1.26
1001_300,1001,2018-10-12,19.06
1001_301,1001,2018-08-20,7.32
1001_302,1001,2018-11-13,0.0
1001_303,1001,2018-09-17,4.72
1001_304,1001,2018-09-24,8.45
1001_305,1001,2018-10-03,0.0
1001_311,1001,2018-09-09,1.89
1001_316,1001,2018-09-13,8.3
1001_319,1001,2018-09-27,1.4
1001_322,1001,2018-09-20,0.0
1001_323,1001,2018-10-05,9.47
1001_324,1001,2018-12-29,3.18
1001_326,1001,2018-11-15,16.66
1001_327,1001,2018-11-23,0.0
1001_330,1001,2018-11-03,11.06
1001_332,1001,2018-11-12,7.41
1001_333,1001,2018-10-24,3.9
1001_334,1001,2018-11-04,0.0
1001_335,1001,2018-12-29,3.98
1001_336,1001,2018-08-29,0.54
1001_337,1001,2018-12-30,0.0
