id,object_name,address,chain,object_type,number
11786,HABITAT COFFEE SHOP,3708 N EAGLE ROCK BLVD,FALSE,Cafe,26
11787,REILLY'S,100 WORLD WAY # 120,FALSE,Restaurant,9
11788,STREET CHURROS,6801 HOLLYWOOD BLVD # 253,FALSE,Fast Food,20
11789,TRINITI ECHO PARK,1814 W SUNSET BLVD,FALSE,Restaurant,22
11790,POLLEN,2100 ECHO PARK AVE,FALSE,Restaurant,20
11791,THE SPOT GRILL,10004 NATIONAL BLVD,FALSE,Restaurant,14
11792,CPK,100 WORLD WAY # 126,FALSE,Restaurant,100
11793,PHO LALA,3500 W 6TH ST STE 226,FALSE,Restaurant,7
11794,ABC DONUTS,3027 N SAN FERNANDO RD UNIT 103,TRUE,Fast Food,1
11795,UPSTAIRS,3707 N CAHUENGA BLVD,FALSE,Restaurant,35
11796,EL POLLO LOCO,5319 W SUNSET BLVD,TRUE,Restaurant,38
11797,POONG NYUN BAKERY,928 S WESTERN AVE STE 109,TRUE,Bakery,17
11798,EMC RESTAURANT GROUP LLC,3500 W 6TH ST STE 101,TRUE,Restaurant,133
11799,POPULAR DONUTS,3614 W SLAUSON AVE,FALSE,Fast Food,18
11800,CUSCATLECA BAKERY,2501 W SUNSET BLVD #A,TRUE,Bakery,26
11801,FOOD COURT TRAY WASHING AREA,928 S WESTERN AVE STE 300,TRUE,Restaurant,21
11802,HMS BOUNTY,3357 WILSHIRE BLVD,FALSE,Restaurant,147
11803,AN'S CHAN BANG,244 S OXFORD AVE # 5,FALSE,Restaurant,10
11804,MURAKAMI,7160 MELROSE AVE,FALSE,Restaurant,139
11805,DELTA SKY CLUB T3,300 WORLD WAY,FALSE,Restaurant,103
11806,CRYSTAL CAFE,3500 W 6TH ST STE #321,FALSE,Restaurant,16
11807,ORANGE TREE CAFE,3500 W 6TH ST STE #220,FALSE,Restaurant,14
11808,CAMY'S GRILL,3339 WILSHIRE BLVD,FALSE,Restaurant,39
11809,SABORES DEL PERU,1015 WALL ST STE 123,FALSE,Restaurant,4
11810,M CAFE DE CHAYA,7119 MELROSE AVE,TRUE,Restaurant,43
11811,INDIA'S GRILL,428 S SAN VICENTE BLVD,FALSE,Restaurant,48
11812,LA INDIA BONITA CAFE,1277 S INDIANA ST,FALSE,Restaurant,19
11813,NORM'S RESTAURANT,470 N LA CIENEGA BLVD,TRUE,Restaurant,80
