user_id,tariff_plan,date_start
166713,A,2019-08-15
166901,A,2019-08-23
168527,A,2019-10-29
167097,A,2019-09-01
168193,A,2019-10-16
167764,A,2019-09-30
167050,A,2019-08-29
168252,A,2019-10-17
168495,A,2019-10-28
167879,A,2019-10-03
168573,A,2019-10-31
166610,A,2019-08-12
167536,A,2019-09-19
168354,A,2019-10-23
168284,A,2019-10-20
168422,A,2019-10-24
168253,A,2019-10-18
168062,A,2019-10-11
168048,A,2019-10-10
168205,A,2019-10-16
167838,A,2019-10-02
168361,A,2019-10-23
168295,A,2019-10-21
167881,A,2019-10-03
168121,A,2019-10-14
168049,A,2019-10-10
167949,A,2019-10-07
168187,A,2019-10-16
167828,A,2019-10-02
167810,A,2019-10-01
168112,A,2019-10-14
167953,A,2019-10-07
167799,A,2019-10-01
166897,A,2019-08-23
167628,A,2019-09-24
166916,A,2019-08-23
167497,A,2019-09-18
167634,A,2019-09-24
166879,A,2019-08-22
166465,A,2019-08-05
166523,A,2019-08-07
166806,A,2019-08-20
167185,A,2019-09-05
168459,A,2019-10-26
167267,A,2019-09-10
166541,A,2019-08-07
167090,A,2019-08-30
166934,A,2019-08-26
166896,A,2019-08-23
166725,A,2019-08-16
166582,A,2019-08-09
166843,A,2019-08-21
166407,A,2019-08-02
166439,A,2019-08-02
168128,A,2019-10-15
168176,A,2019-10-16
168341,A,2019-10-22
167265,A,2019-09-10
167211,A,2019-09-06
168255,A,2019-10-18
167158,A,2019-09-04
166609,A,2019-08-12
167000,A,2019-08-28
167285,A,2019-09-10
168576,A,2019-10-31
168281,A,2019-10-19
168020,A,2019-10-09
166681,A,2019-08-14
166427,A,2019-08-02
166531,A,2019-08-07
166481,A,2019-08-05
167626,A,2019-09-24
167662,A,2019-09-24
167118,A,2019-09-02
166570,A,2019-08-09
167631,A,2019-09-24
166720,C,2019-08-16
167948,C,2019-10-07
167584,C,2019-09-21
167701,C,2019-09-26
167397,C,2019-09-16
168202,C,2019-10-16
167212,C,2019-09-06
167698,C,2019-09-25
167368,C,2019-09-13
167364,C,2019-09-13
167180,C,2019-09-05
166619,C,2019-08-12
168185,C,2019-10-16
167739,C,2019-09-27
167325,C,2019-09-11
168350,C,2019-10-22
168054,C,2019-10-10
167534,C,2019-09-19
166939,C,2019-08-26
167309,C,2019-09-11
168529,C,2019-10-29
167390,C,2019-09-14
166997,C,2019-08-28
168088,C,2019-10-14
168412,C,2019-10-24
166546,C,2019-08-08
166669,C,2019-08-14
167412,C,2019-09-16
167918,C,2019-10-04
167829,C,2019-10-02
168186,C,2019-10-16
166374,C,2019-08-01
167831,C,2019-10-02
166878,C,2019-08-22
167646,C,2019-09-24
168090,C,2019-10-14
168115,C,2019-10-14
167718,C,2019-09-26
167669,C,2019-09-25
166650,C,2019-08-13
166487,C,2019-08-06
167441,C,2019-09-17
168471,C,2019-10-28
168469,C,2019-10-28
168598,C,2019-10-31
168606,C,2019-10-31
168133,C,2019-10-15
167875,C,2019-10-03
167715,C,2019-09-26
168335,C,2019-10-22
168473,C,2019-10-28
167727,C,2019-09-26
168582,C,2019-10-31
168374,C,2019-10-23
168536,C,2019-10-29
168575,C,2019-10-31
167599,C,2019-09-23
168411,C,2019-10-24
168601,C,2019-10-31
166762,C,2019-08-19
168008,C,2019-10-09
168368,C,2019-10-23
168515,C,2019-10-29
167471,C,2019-09-18
168522,C,2019-10-29
167958,C,2019-10-07
168353,C,2019-10-23
167742,C,2019-09-27
168264,C,2019-10-18
168175,C,2019-10-16
168464,C,2019-10-28
167139,C,2019-09-03
168303,C,2019-10-21
167747,C,2019-09-27
167238,C,2019-09-09
168190,C,2019-10-16
168486,C,2019-10-28
166905,C,2019-08-23
166782,C,2019-08-19
166508,C,2019-08-06
166930,C,2019-08-23
167040,C,2019-08-29
167735,C,2019-09-27
166400,C,2019-08-01
168348,C,2019-10-22
168206,C,2019-10-16
168416,C,2019-10-24
167934,C,2019-10-07
167923,C,2019-10-07
168415,C,2019-10-24
168165,C,2019-10-15
167187,C,2019-09-05
168336,C,2019-10-22
166418,C,2019-08-02
168132,C,2019-10-15
168326,C,2019-10-22
168293,C,2019-10-21
168381,C,2019-10-23
168040,C,2019-10-10
168221,C,2019-10-17
168092,C,2019-10-14
168261,C,2019-10-18
168024,C,2019-10-09
168227,C,2019-10-17
168276,C,2019-10-18
168144,C,2019-10-15
168208,C,2019-10-16
167998,C,2019-10-09
168288,C,2019-10-21
168275,C,2019-10-18
168256,C,2019-10-18
168228,C,2019-10-17
167756,C,2019-09-27
167653,C,2019-09-24
168030,C,2019-10-09
168110,C,2019-10-14
168155,C,2019-10-15
167950,C,2019-10-07
167513,C,2019-09-19
167968,C,2019-10-08
168073,C,2019-10-11
166628,C,2019-08-12
167872,C,2019-10-03
167569,C,2019-09-20
166895,C,2019-08-23
167733,C,2019-09-27
168031,C,2019-10-10
168016,C,2019-10-09
167870,C,2019-10-03
167501,C,2019-09-18
168101,C,2019-10-14
168011,C,2019-10-09
167921,C,2019-10-04
168064,C,2019-10-11
167976,C,2019-10-08
167734,C,2019-09-27
167954,C,2019-10-07
168042,C,2019-10-10
168004,C,2019-10-09
166482,C,2019-08-05
168022,C,2019-10-09
167792,C,2019-09-30
168010,C,2019-10-09
168019,C,2019-10-09
167216,C,2019-09-06
167027,C,2019-08-28
167943,C,2019-10-07
167917,C,2019-10-04
167941,C,2019-10-07
167552,C,2019-09-20
167936,C,2019-10-07
167700,C,2019-09-26
167852,C,2019-10-02
167622,C,2019-09-23
167575,C,2019-09-20
167798,C,2019-10-01
167927,C,2019-10-07
167878,C,2019-10-03
167827,C,2019-10-02
166940,C,2019-08-26
167335,C,2019-09-12
167888,C,2019-10-04
167906,C,2019-10-04
167816,C,2019-10-01
167499,C,2019-09-18
167665,C,2019-09-24
167709,C,2019-09-26
167805,C,2019-10-01
166947,C,2019-08-26
